N,P,K,temperature,humidity,ph,rainfall,label,NPK_ratio,N_to_K,Total_Nutrients
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,58.333333333333336,2.0930232558139537,175
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,61.333333333333336,2.073170731707317,184
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,53.0,1.3636363636363635,159
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,49.666666666666664,1.85,149
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,54.0,1.8571428571428572,162
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,49.333333333333336,1.6428571428571428,148
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,54.0,1.8157894736842106,162
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,62.333333333333336,2.35,187
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,60.333333333333336,2.3421052631578947,181
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,54.666666666666664,1.7894736842105263,164
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,61.333333333333336,2.275,184
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,59.333333333333336,2.142857142857143,178
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,60.0,1.7727272727272727,180
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,61.666666666666664,2.5833333333333335,185
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,60.333333333333336,2.5405405405405403,181
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,49.0,1.5384615384615385,147
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,54.666666666666664,2.073170731707317,164
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,55.0,2.3333333333333335,165
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,50.333333333333336,2.138888888888889,151
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,54.333333333333336,2.2,163
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,56.666666666666664,2.4722222222222223,170
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,53.0,1.7674418604651163,159
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,55.666666666666664,1.6341463414634145,167
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,55.666666666666664,1.930232558139535,167
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,60.666666666666664,2.6486486486486487,182
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,53.333333333333336,1.6097560975609757,160
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,66.33333333333333,2.255813953488372,199
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,62.666666666666664,2.3658536585365852,188
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,51.0,1.3636363636363635,153
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,56.666666666666664,2.4,170
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,57.0,1.7804878048780488,171
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,55.666666666666664,2.3,167
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,53.666666666666664,2.1794871794871793,161
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,63.0,2.5789473684210527,189
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,62.0,2.0,186
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,64.0,2.261904761904762,192
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,63.666666666666664,2.8285714285714287,191
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,56.666666666666664,2.638888888888889,170
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,49.0,1.3636363636363635,147
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,49.333333333333336,1.5365853658536586,148
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,46.666666666666664,1.7222222222222223,140
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,50.666666666666664,1.4883720930232558,152
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,59.666666666666664,2.3055555555555554,179
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,54.0,2.05,162
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,60.666666666666664,1.8888888888888888,182
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,54.666666666666664,2.3947368421052633,164
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,55.666666666666664,1.8095238095238095,167
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,50.333333333333336,1.9473684210526316,151
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,53.666666666666664,2.0256410256410255,161
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,62.666666666666664,1.9555555555555555,188
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,46.333333333333336,1.3953488372093024,139
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,58.333333333333336,1.9487179487179487,175
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,63.666666666666664,2.2142857142857144,191
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,56.0,1.5116279069767442,168
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,61.0,2.638888888888889,183
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,50.666666666666664,1.9230769230769231,152
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,55.333333333333336,1.9473684210526316,166
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice,57.333333333333336,2.022222222222222,172
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,52.333333333333336,1.775,157
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,63.0,2.8285714285714287,189
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,50.0,1.894736842105263,150
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,62.0,1.8444444444444446,186
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,63.0,2.4473684210526314,189
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,49.333333333333336,1.6666666666666667,148
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice,55.0,1.8095238095238095,165
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,58.666666666666664,2.75,176
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,63.333333333333336,2.675675675675676,190
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,60.0,2.4571428571428573,180
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,52.0,1.6829268292682926,156
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,61.333333333333336,2.4594594594594597,184
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,51.333333333333336,1.4878048780487805,154
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice,50.0,1.763157894736842,150
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,52.666666666666664,2.135135135135135,158
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,54.333333333333336,1.8571428571428572,163
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,55.0,2.0833333333333335,165
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,59.333333333333336,2.1555555555555554,178
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,52.666666666666664,1.5227272727272727,158
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,48.666666666666664,1.9210526315789473,146
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,50.0,2.081081081081081,150
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,53.333333333333336,2.1315789473684212,160
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,56.0,1.5813953488372092,168
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,50.666666666666664,2.057142857142857,152
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,52.333333333333336,1.4186046511627908,157
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,49.666666666666664,1.7179487179487178,149
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,54.666666666666664,1.7179487179487178,164
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,rice,54.666666666666664,1.736842105263158,164
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,54.333333333333336,2.1578947368421053,163
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,59.333333333333336,1.9090909090909092,178
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,58.666666666666664,1.9285714285714286,176
